train,test,n
0.9997091332169866,0.5847630125036348,286.0
0.9997091332169866,0.5748764175632451,287.0
0.9997091332169866,0.6056993312009306,288.0
0.9997091332169866,0.6007560337307357,289.0
0.9997091332169866,0.6129688863041581,290.0
0.9997091332169866,0.582727537074731,291.0
0.9997091332169866,0.5626635649898226,292.0
0.9997091332169866,0.5961035184646699,293.0
0.9997091332169866,0.5769118929921488,294.0
0.9997091332169866,0.6103518464669963,295.0
0.9997091332169866,0.5862169235242803,296.0
0.9997091332169866,0.5812736260540855,297.0
0.9997091332169866,0.577202675196278,298.0
0.9997091332169866,0.5841814480953765,299.0
0.9997091332169866,0.5652806048269846,300.0
0.9997091332169866,0.5804012794416982,301.0
0.9997091332169866,0.5702239022971795,302.0
0.9997091332169866,0.5865077057284094,303.0
0.9997091332169866,0.5929049142192497,304.0
0.9997091332169866,0.6048269845885432,305.0
0.9997091332169866,0.6036638557720267,306.0
0.9997091332169866,0.5917417854027334,307.0
0.9997091332169866,0.5931956964233789,308.0
0.9997091332169866,0.5748764175632451,309.0
0.9997091332169866,0.5774934574004071,310.0
0.9997091332169866,0.5565571387031114,311.0
0.9997091332169866,0.5812736260540855,312.0
0.9997091332169866,0.5850537947077639,313.0
0.9997091332169866,0.5809828438499564,314.0
0.9997091332169866,0.5452166327420762,315.0
0.9997091332169866,0.5847630125036348,316.0
0.9997091332169866,0.5786565862169235,317.0
0.9997091332169866,0.5562663564989823,318.0
0.9997091332169866,0.542018028496656,319.0
0.9997091332169866,0.5545216632742076,320.0
0.9997091332169866,0.5795289328293108,321.0
0.9997091332169866,0.5722593777260832,322.0
0.9997091332169866,0.5859261413201512,323.0
0.9997091332169866,0.588252398953184,324.0
0.9997091332169866,0.5961035184646699,325.0
0.9997091332169866,0.6033730735678976,326.0
0.9997091332169866,0.6025007269555103,327.0
0.9997091332169866,0.5969758650770572,328.0
0.9997091332169866,0.571968595521954,329.0
0.9997091332169866,0.5899970921779587,330.0
0.9997091332169866,0.585635359116022,331.0
0.9997091332169866,0.5995929049142192,332.0
0.9997091332169866,0.5786565862169235,333.0
0.9997091332169866,0.5931956964233789,334.0
0.9997091332169866,0.5830183192788602,335.0
0.9997091332169866,0.5902878743820879,336.0
0.9997091332169866,0.5867984879325385,337.0
0.9997091332169866,0.5789473684210527,338.0
0.9997091332169866,0.5699331200930503,339.0
0.9997091332169866,0.569060773480663,340.0
0.9997091332169866,0.5963943006687991,341.0
0.9997091332169866,0.5917417854027334,342.0
